id,nom,prenom,email,date_naissance,telephone
a65ed389-b74d-4fb1-b2e7-06298fadc1a6,Riou,Frédéric,patrick32@labbe.com,,03 00 13 38 90
d8f56413-5be6-428e-98c2-67976142ea7d,Boutin,ÉMILIE,carolinepruvost@bouygtel.fr,16/10/1954,+33 2 65 42 35 11
4a15544d-c5e7-4e8a-ba57-8a8ea9488d99,Barre,Josette,chauveauceline@yahoo.fr,,+33 (0)5 84 95 93 10
7656af72-29d4-4eef-beab-edcbbaa80dd4,Chevalier,Dominique,GILLETROGER@BOUSQUET.FR,,0805341928
8fb5d27b-beb7-4919-bf22-faf823bed01d,Gillet,RICHARD,zoe03@gomes.org,08/11/1958,+33 5 95 37 67 24
988c24c9-61b1-4d22-a280-1c4510435a10,Tanguy,Rémy,oetienne@laposte.net,08/01/1989,08 01 01 22 69
2dbc2134-c30f-446e-8026-695ff8cda88b,Bigot,ÉLÉONORE,bazinmichelle@yahoo.fr,27/09/2000,0000000000
913e4de2-e0c5-4cb8-bda9-c2a90ed42f1a,Guillou,Franck,honorebesson@free.fr,20/01/1991,+33 (0)1 95 70 15 43
337ea2df-b09b-4a5c-badc-c32ac1590f53,Chevalier,Émile,samsonelisabeth@laposte.net,01/02/1963,06 82 48 96 38
a18ff6b6-b535-406e-922c-9a5601d74256,Delannoy,Thierry,brigitte87@yahoo.fr,21/03/1971,+33 6 15 09 83 93
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Lopez,Michel,remydavid@lopes.net,,+33 1 99 73 76 31
766ecb15-474e-4c19-aef9-12766c006f61,Briand,Antoinette,MAILLETMARCELLE@YAHOO.FR,22/06/1958,01 51 33 38 72
fc3d3348-008d-4127-a104-61e32a25a888,Menard,Denis,girardmanon@voila.fr,11/09/1960,+33 8 02 67 73 60
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Perrier,Rémy,audrey87@laposte.net,09/04/1967,0230980500
ef48e8d5-50fd-4d3f-85d5-169590b2b633,Laporte,Hugues,LEMOINEDANIEL@PARENT.FR,04/07/1962,+33 8 09 90 91 69
8181a8cc-3691-47eb-89a2-688b12c136e0,Bertin,Lucas,remydelaunay@laposte.net,21/01/2000,0375107991
43b409ef-2260-470f-a0cc-edc5f05db76e,Aubry,GILLES,moulinalexandrie@club-internet.fr,30/01/1965,04 84 98 08 41
a319dcb4-217d-45a0-8568-11cd5563f616,Ferreira,Franck,roland93@martins.org,28/09/1988,08 04 01 64 00
e623a689-5d59-4d2a-8eea-04e70ab54bde,Charles,Isaac,aguilbert@yahoo.fr,21/06/1959,+33 1 80 59 82 62
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,Fournier,Agathe,margothenry@valette.fr,01/08/1996,+33 1 32 26 02 56
c5f8bc16-f786-4b50-91c5-8ef0dd463c09,Menard,René,weberauguste@louis.net,02/09/1985,0643303654
629c2ae3-1d9a-4659-82ec-9f2dfbf6e16f,Lopes,Adèle,antoine14@free.fr,09/11/1993,0101965569
688c7015-aab9-4e49-8f2d-479681d2c7de,Verdier,Laurent,NEVEUBERNADETTE@VOILA.FR,,+33 4 56 15 95 14
9479e1e6-c927-4d9b-ae0d-264835ce8841,Millet,Anne,leonde-oliveira@ifrance.com,09/06/2000,0000000000
ce7ae7f6-3982-4cff-8f77-a665ac3c5640,Seguin,Marcelle,cpichon@sfr.fr,18/02/1989,06 21 48 95 13
b227462c-f53d-4330-8dda-24ba2d06e8cf,Philippe,William,MOULINCHRISTELLE@PINEAU.NET,26/03/2003,01 76 32 01 63
3f4b1a70-c074-418e-825a-609f7337c599,Paul,Célina,clauderiviere@lucas.fr,11/10/1999,0479868727
271e3ee2-b1a6-41f1-a20e-99d33b33f3d8,Diaz,Robert,robertbesnard@hotmail.fr,27/11/2002,0234558122
da7b9095-63d6-4a39-80e3-befd4c71e0fe,Munoz,Marcel,vcordier@legros.com,,02 69 09 67 05
06f028ff-a9ba-4a27-907b-fe36978648f8,Humbert,Élise,rvasseur@vallee.com,23/10/1980,0562729806
